 733.276  991.365 -456.362     ||     733.276  637.399 -459.219 
  27.632 -208.180  250.053     ||     991.365  735.152  521.567 
  74.353  388.303 -442.907     ||    -456.362 -345.110  335.429 
 221.828  543.269  869.633     ||      27.632  957.064 -388.363 
-175.405  766.225  577.847     ||    -208.180  405.119  747.348 
-460.914  -61.278  220.659     ||     250.053   10.186  198.985 
 993.768 -144.369  748.034     ||      74.353  419.107  957.355 
 697.246  856.963  793.243     ||     388.303  597.858 -208.587 
 861.552 -382.569  869.834     ||    -442.907   -0.140 -499.979 
 116.808 -116.020  237.033     ||     221.828  209.665 -291.489 
 236.491  785.704  223.623     ||     543.269  426.269  426.412 
 669.242  -28.029  124.369     ||     869.633  838.269  973.088 
 282.336  860.812  119.454     ||    -175.405 -123.855  953.160 
 741.629   70.539  -95.351     ||     766.225  -70.412 -436.086 
 571.808 -392.811  730.671     ||     577.847 -341.113  792.686 
 384.294 -390.142  422.424     ||    -460.914  625.695  528.794 
 576.959  566.922 -299.644     ||     -61.278  972.515  449.803 
 260.265 -433.644 -316.750     ||     220.659  947.184  158.823 
 314.081  277.738  869.095     ||     993.768   63.929 -172.785 
 133.858  164.259  892.126     ||    -144.369  487.666 -163.982 
 860.812  119.454  741.629     ||     748.034  458.416  282.336 
  70.539  -95.351  571.808     ||     697.246  195.206  860.812 
-392.811    0.000  384.294     ||     856.963  242.177  119.454 
-390.142  422.424  576.959     ||     793.243 -475.564  741.629 
 566.922 -299.644  260.265     ||     861.552   18.038   70.539 
   0.000 -316.750  314.081     ||    -382.569  867.229  -95.351 
 277.738  869.095  133.858     ||     869.834  678.675  571.808 
 164.259  892.126    0.000     ||     116.808  -76.265 -392.811 
   0.000    0.000    0.000     ||    -116.020  -56.843  730.671 
   0.000    0.000    0.000     ||     237.033  937.254  384.294 
   0.000    0.000    0.000     ||     236.491  560.400 -390.142 
   0.000    0.000    0.000     ||     785.704  108.228  422.424 
   0.000    0.000    0.000     ||     223.623   -0.915  576.959 
   0.000    0.000    0.000     ||     669.242   58.237  566.922 
   0.000    0.000    0.000     ||     -28.029 -460.309 -299.644 
   0.000    0.000    0.000     ||     124.369 -204.327  260.265 
   0.000    0.000    0.000     ||    -440.998 -160.131 -433.644 
   0.000    0.000    0.000     ||     414.490  949.773 -316.750 
   0.000    0.000    0.000     ||      25.446  175.154  314.081 
   0.000    0.000    0.000     ||      -5.247  897.180  277.738 
   0.000    0.000    0.000     ||     556.455 -206.451  869.095 
   0.000    0.000    0.000     ||    -281.812  699.993  133.858 
   0.000    0.000    0.000     ||     795.202  261.930  164.259 
   0.000    0.000    0.000     ||     295.208  751.833  892.126 
